Predictor,b,Seed,Dataset,Result
HLL,6,7787213,dracula,9814.394508250825
REC,6,7787213,dracula,8721.927781076707
HLL,7,7787213,dracula,10204.292146185011
REC,7,7787213,dracula,6514.968836883786
HLL,8,7787213,dracula,10067.347070866977
REC,8,7787213,dracula,7287.911950483223
HLL,9,7787213,dracula,10055.441490794605
REC,9,7787213,dracula,8517.81762843406
HLL,10,7787213,dracula,9590.494082223502
REC,10,7787213,dracula,9259.578149223556
HLL,11,7787213,dracula,9451.408229277808
REC,11,7787213,dracula,9277.736116999178
HLL,12,7787213,dracula,9309.228452590927
REC,12,7787213,dracula,9364.740196744171
HLL,13,7787213,dracula,9338.746884293809
REC,13,7787213,dracula,9427.853280651378
HLL,14,7787213,dracula,9458.79744084976
REC,14,7787213,dracula,10713.903163643017
HLL,15,7787213,dracula,9428.09951056076
REC,15,7787213,dracula,16071.696938099067
HLL,16,7787213,dracula,9431.20134607483
REC,16,7787213,dracula,27837.932418028387
HLL,2,4391116,dracula,28364.70879344453
REC,2,4391116,dracula,846.0329472543003
HLL,3,4391116,dracula,15061.025413212212
REC,3,4391116,dracula,3248.8897775718456
HLL,4,4391116,dracula,10641.909866163996
REC,4,4391116,dracula,5390.357117952962
HLL,5,4391116,dracula,7666.755975741681
REC,5,4391116,dracula,6767.295155726734
HLL,6,4391116,dracula,9225.882898056134
REC,6,4391116,dracula,7704.400479467646
HLL,7,4391116,dracula,9457.740829880779
REC,7,4391116,dracula,10889.351103681029
HLL,8,4391116,dracula,10008.134106376128
REC,8,4391116,dracula,9173.006154800754
HLL,9,4391116,dracula,9330.769623162976
REC,9,4391116,dracula,9227.32520299495
HLL,10,4391116,dracula,9230.70714408245
REC,10,4391116,dracula,9089.41760558304
HLL,11,4391116,dracula,9130.714122918409
REC,11,4391116,dracula,9414.621820178776
HLL,12,4391116,dracula,9309.228452590927
REC,12,4391116,dracula,9389.923056849306
HLL,13,4391116,dracula,9338.746884293809
REC,13,4391116,dracula,9412.903278565671
