Predictor,b,Seed,Dataset,Result
LogLog,3,13323,midsummer-nights-dream,6340.78891609686
HLL,3,13323,midsummer-nights-dream,4493.138901978828
KMV,3,13323,midsummer-nights-dream,3434.583125027203
MinCount,3,13323,midsummer-nights-dream,3334.981821021538
REC,3,13323,midsummer-nights-dream,2887.790913397196
AdaptiveSampling,4,13323,midsummer-nights-dream,4096.0
PCSA,4,13323,midsummer-nights-dream,2647.0
LogLog,4,13323,midsummer-nights-dream,4171.729848651372
HLL,4,13323,midsummer-nights-dream,3088.8342572387805
KMV,4,13323,midsummer-nights-dream,4088.9187737478815
MinCount,4,13323,midsummer-nights-dream,3087.7972744643475
REC,4,13323,midsummer-nights-dream,2603.658768999561
AdaptiveSampling,5,13323,midsummer-nights-dream,3584.0
PCSA,5,13323,midsummer-nights-dream,2764.0
LogLog,5,13323,midsummer-nights-dream,3684.9881933017987
HLL,5,13323,midsummer-nights-dream,3305.759470256839
KMV,5,13323,midsummer-nights-dream,3634.004182227653
MinCount,5,13323,midsummer-nights-dream,3193.949682621248
REC,5,13323,midsummer-nights-dream,1746.6923323420312
AdaptiveSampling,6,13323,midsummer-nights-dream,3328.0
PCSA,6,13323,midsummer-nights-dream,2590.0
LogLog,6,13323,midsummer-nights-dream,3424.956089076234
HLL,6,13323,midsummer-nights-dream,2812.5619673386445
KMV,6,13323,midsummer-nights-dream,3105.193984127855
MinCount,6,13323,midsummer-nights-dream,2718.0988948915406
REC,6,13323,midsummer-nights-dream,2126.7688905265572
AdaptiveSampling,7,13323,midsummer-nights-dream,2912.0
PCSA,7,13323,midsummer-nights-dream,3114.0
LogLog,7,13323,midsummer-nights-dream,3266.087322337455
HLL,7,13323,midsummer-nights-dream,3038.1364606623292
KMV,7,13323,midsummer-nights-dream,2821.4507544146522
MinCount,7,13323,midsummer-nights-dream,2676.6812446361014
REC,7,13323,midsummer-nights-dream,2600.175182068897
AdaptiveSampling,8,13323,midsummer-nights-dream,2944.0
PCSA,8,13323,midsummer-nights-dream,3097.0
LogLog,8,13323,midsummer-nights-dream,3163.576738621813
HLL,8,13323,midsummer-nights-dream,3096.030610494619
KMV,8,13323,midsummer-nights-dream,3075.8675698510697
MinCount,8,13323,midsummer-nights-dream,2944.4083815525073
REC,8,13323,midsummer-nights-dream,3007.263217848513
AdaptiveSampling,9,13323,midsummer-nights-dream,3088.0
PCSA,9,13323,midsummer-nights-dream,3178.0
LogLog,9,13323,midsummer-nights-dream,3168.8012023250185
HLL,9,13323,midsummer-nights-dream,3200.721032905166
KMV,9,13323,midsummer-nights-dream,3071.4744245909224
MinCount,9,13323,midsummer-nights-dream,3009.9888653324556
REC,9,13323,midsummer-nights-dream,3117.6467931886004
AdaptiveSampling,2,13323,quijote,16384.0
PCSA,2,13323,quijote,35622.0
LogLog,2,13323,quijote,12158.619734517368
HLL,2,13323,quijote,16420.903805750288
KMV,2,13323,quijote,14795.215761474274
MinCount,2,13323,quijote,15753.774501065544
REC,2,13323,quijote,15406.439555097886
AdaptiveSampling,3,13323,quijote,28672.0
PCSA,3,13323,quijote,21181.0
LogLog,3,13323,quijote,19557.66661606252
HLL,3,13323,quijote,23854.482897778504
KMV,3,13323,quijote,23335.455704209882
MinCount,3,13323,quijote,16435.59051151074
REC,3,13323,quijote,10552.435405163906
AdaptiveSampling,4,13323,quijote,28672.0
PCSA,4,13323,quijote,19423.0
LogLog,4,13323,quijote,26874.12235502864
HLL,4,13323,quijote,34640.423449279086
KMV,4,13323,quijote,23821.703017919383
MinCount,4,13323,quijote,16873.584379957512
REC,4,13323,quijote,47811.32842229667
AdaptiveSampling,5,13323,quijote,24576.0
PCSA,5,13323,quijote,21181.0
LogLog,5,13323,quijote,27033.19257935381
HLL,5,13323,quijote,29722.432034990332
KMV,5,13323,quijote,25426.111643145257
MinCount,5,13323,quijote,17557.03507504175
REC,5,13323,quijote,51581.30585215185
AdaptiveSampling,6,13323,quijote,24064.0
PCSA,6,13323,quijote,23861.0
LogLog,6,13323,quijote,21825.76764801483
HLL,6,13323,quijote,18072.592979420748
KMV,6,13323,quijote,24338.047439158465
MinCount,6,13323,quijote,20730.01843433138
REC,6,13323,quijote,35209.05603142288
AdaptiveSampling,7,13323,quijote,21760.0
PCSA,7,13323,quijote,23604.0
LogLog,7,13323,quijote,20813.36553272159
HLL,7,13323,quijote,19022.55392489601
KMV,7,13323,quijote,23319.356245173072
MinCount,7,13323,quijote,20386.0633854372
REC,7,13323,quijote,32881.517058191355
AdaptiveSampling,8,13323,quijote,24448.0
PCSA,8,13323,quijote,25257.0
LogLog,8,13323,quijote,21630.48474316987
HLL,8,13323,quijote,20819.72044175942
KMV,8,13323,quijote,23966.823096680895
MinCount,8,13323,quijote,21643.05778318029
REC,8,13323,quijote,24502.879496632915
AdaptiveSampling,9,13323,quijote,22912.0
PCSA,9,13323,quijote,22542.0
LogLog,9,13323,quijote,22871.82614594408
HLL,9,13323,quijote,23392.141358082798
KMV,9,13323,quijote,23651.555811510123
MinCount,9,13323,quijote,21690.406221432386
REC,9,13323,quijote,24432.042721632937
AdaptiveSampling,2,13323,valley-fear,6144.0
PCSA,2,13323,valley-fear,3744.0
LogLog,2,13323,valley-fear,2556.0349372971814
HLL,2,13323,valley-fear,1925.2094117086544
KMV,2,13323,valley-fear,5373.968892053097
MinCount,2,13323,valley-fear,10997.443630097292
REC,2,13323,valley-fear,6309.887241768094
AdaptiveSampling,3,13323,valley-fear,7168.0
PCSA,3,13323,valley-fear,4855.0
LogLog,3,13323,valley-fear,3457.3396721008917
HLL,3,13323,valley-fear,3407.7832711112146
KMV,3,13323,valley-fear,6986.697188219314
MinCount,3,13323,valley-fear,4729.338825375247
REC,3,13323,valley-fear,2566.8141452419522
AdaptiveSampling,4,13323,valley-fear,5120.0
PCSA,4,13323,valley-fear,5295.0
LogLog,4,13323,valley-fear,4961.050817885436
HLL,4,13323,valley-fear,5027.951043840152
KMV,4,13323,valley-fear,4932.813265505901
MinCount,4,13323,valley-fear,3784.2468542492616
REC,4,13323,valley-fear,4229.408880187801
AdaptiveSampling,5,13323,valley-fear,4864.0
PCSA,5,13323,valley-fear,5774.0
LogLog,5,13323,valley-fear,5325.474210896782
HLL,5,13323,valley-fear,5554.869154960197
KMV,5,13323,valley-fear,5539.14112168285
MinCount,5,13323,valley-fear,4161.239423903433
REC,5,13323,valley-fear,4823.759970459226
AdaptiveSampling,6,13323,valley-fear,5760.0
PCSA,6,13323,valley-fear,7017.0
LogLog,6,13323,valley-fear,5636.6402460339905
HLL,6,13323,valley-fear,5686.620898656377
KMV,6,13323,valley-fear,6284.620919468282
MinCount,6,13323,valley-fear,4783.513869591034
REC,6,13323,valley-fear,5068.835683540158
AdaptiveSampling,7,13323,valley-fear,5952.0
PCSA,7,13323,valley-fear,6195.0
LogLog,7,13323,valley-fear,5830.0201243905385
HLL,7,13323,valley-fear,5890.149491247423
KMV,7,13323,valley-fear,5926.545249987182
MinCount,7,13323,valley-fear,5150.009748823219
REC,7,13323,valley-fear,5842.359813752204
AdaptiveSampling,8,13323,valley-fear,5920.0
PCSA,8,13323,valley-fear,5696.0
LogLog,8,13323,valley-fear,6009.886902015831
HLL,8,13323,valley-fear,5950.223949153486
KMV,8,13323,valley-fear,6151.64243338175
MinCount,8,13323,valley-fear,5459.590207957174
REC,8,13323,valley-fear,5996.97709630515
AdaptiveSampling,9,13323,valley-fear,5856.0
PCSA,9,13323,valley-fear,5949.0
LogLog,9,13323,valley-fear,5954.966547885738
HLL,9,13323,valley-fear,5879.000449081187
KMV,9,13323,valley-fear,5966.910524813725
MinCount,9,13323,valley-fear,5692.3043847019235
REC,9,13323,valley-fear,5501.50941690094
AdaptiveSampling,2,13323,war-peace,49152.0
PCSA,2,13323,war-peace,10590.0
LogLog,2,13323,war-peace,12158.619734517368
HLL,2,13323,war-peace,10736.744796067496
KMV,2,13323,war-peace,45556.249714497855
MinCount,2,13323,war-peace,28051.81927393458
REC,2,13323,war-peace,6309.887241768094
AdaptiveSampling,3,13323,war-peace,24576.0
PCSA,3,13323,war-peace,14977.0
LogLog,3,13323,war-peace,21327.786677705342
HLL,3,13323,war-peace,18742.80799111168
KMV,3,13323,war-peace,23391.2480136933
MinCount,3,13323,war-peace,14866.299240880879
REC,3,13323,war-peace,6587.45776856445
AdaptiveSampling,4,13323,war-peace,20480.0
PCSA,4,13323,war-peace,19423.0
LogLog,4,13323,war-peace,20722.781209631357
HLL,4,13323,war-peace,16086.578410918777
KMV,4,13323,war-peace,19755.34446775615
MinCount,4,13323,war-peace,19032.52568635045
REC,4,13323,war-peace,10502.074014644822
AdaptiveSampling,5,13323,war-peace,21504.0
PCSA,5,13323,war-peace,21181.0
LogLog,5,13323,war-peace,20398.766302521628
HLL,5,13323,war-peace,19476.731067058612
KMV,5,13323,war-peace,21378.093709803878
MinCount,5,13323,war-peace,18668.557794871027
REC,5,13323,war-peace,15063.068779571218
AdaptiveSampling,6,13323,war-peace,19968.0
PCSA,6,13323,war-peace,20504.0
LogLog,6,13323,war-peace,20232.2588041699
HLL,6,13323,war-peace,19469.901252323398
KMV,6,13323,war-peace,19986.338088672994
MinCount,6,13323,war-peace,19243.752473042114
REC,6,13323,war-peace,19533.31448280849
AdaptiveSampling,7,13323,war-peace,20480.0
PCSA,7,13323,war-peace,18904.0
LogLog,7,13323,war-peace,19085.940346202442
HLL,7,13323,war-peace,19100.13907395552
KMV,7,13323,war-peace,20885.178813013346
MinCount,7,13323,war-peace,15676.396144841445
REC,7,13323,war-peace,16321.564576166276
AdaptiveSampling,8,13323,war-peace,19200.0
PCSA,8,13323,war-peace,19110.0
LogLog,8,13323,war-peace,19568.521357486155
HLL,8,13323,war-peace,19392.217075245422
KMV,8,13323,war-peace,19946.66643548895
MinCount,8,13323,war-peace,17453.553218623227
REC,8,13323,war-peace,15227.93628560269
AdaptiveSampling,9,13323,war-peace,19776.0
PCSA,9,13323,war-peace,17500.0
LogLog,9,13323,war-peace,19128.96821065674
HLL,9,13323,war-peace,18084.331737381686
KMV,9,13323,war-peace,18089.14307661788
MinCount,9,13323,war-peace,17128.17133507181
REC,9,13323,war-peace,16091.853927085256
AdaptiveSampling,2,60340,crusoe,3072.0
PCSA,2,60340,crusoe,3744.0
LogLog,2,60340,crusoe,1807.3896371125688
HLL,2,60340,crusoe,2492.4586133728117
KMV,2,60340,crusoe,1623.1632370442305
MinCount,2,60340,crusoe,2703.693289522747
REC,2,60340,crusoe,4037.9678347315803
AdaptiveSampling,3,60340,crusoe,2560.0
PCSA,3,60340,crusoe,5295.0
LogLog,3,60340,crusoe,2444.708327007815
HLL,3,60340,crusoe,3565.208041787548
KMV,3,60340,crusoe,2718.7373633590087
MinCount,3,60340,crusoe,4504.4546829530445
REC,3,60340,crusoe,8337.516863339382
AdaptiveSampling,4,60340,crusoe,2560.0
PCSA,4,60340,crusoe,6576.0
LogLog,4,60340,crusoe,3507.9926751378594
HLL,4,60340,crusoe,5114.482809993198
KMV,4,60340,crusoe,4362.083475577496
MinCount,4,60340,crusoe,5751.990618179643
REC,4,60340,crusoe,6869.903592659749
AdaptiveSampling,5,60340,crusoe,5120.0
PCSA,5,60340,crusoe,5774.0
LogLog,5,60340,crusoe,4382.214178175522
HLL,5,60340,crusoe,6066.274380585423
KMV,5,60340,crusoe,5588.764467368578
MinCount,5,60340,crusoe,5566.290201895935
REC,5,60340,crusoe,7421.858368266347
AdaptiveSampling,6,60340,crusoe,5760.0
PCSA,6,60340,crusoe,6647.0
LogLog,6,60340,crusoe,5225.106675875949
HLL,6,60340,crusoe,6242.67754607877
KMV,6,60340,crusoe,6069.590371434572
MinCount,6,60340,crusoe,6205.499415566094
REC,6,60340,crusoe,7129.636572603579
AdaptiveSampling,7,60340,crusoe,6592.0
PCSA,7,60340,crusoe,5774.0
LogLog,7,60340,crusoe,5925.506029925
HLL,7,60340,crusoe,6774.066752784994
KMV,7,60340,crusoe,6639.11946264234
MinCount,7,60340,crusoe,5685.560777425692
REC,7,60340,crusoe,6464.457450551354
AdaptiveSampling,8,60340,crusoe,6400.0
PCSA,8,60340,crusoe,6112.0
LogLog,8,60340,crusoe,5977.430047946784
HLL,8,60340,crusoe,6122.411837375361
KMV,8,60340,crusoe,6281.882840698085
MinCount,8,60340,crusoe,5911.275865041234
REC,8,60340,crusoe,6358.195451407637
AdaptiveSampling,9,60340,crusoe,6192.0
PCSA,9,60340,crusoe,6280.0
LogLog,9,60340,crusoe,6126.694983426985
HLL,9,60340,crusoe,6325.878727352826
